,name,company,year,Price,kms_driven,fuel_type
55,Toyota Innova Crysta 2.8 ZX AT BSIV,Toyota,2016,1650000,127700,Diesel
56,Toyota Innova 2.5 G (Diesel) 7 Seater,Toyota,2016,950000,99000,Diesel
57,Audi A6 2.0 TDI Technology,Audi,2013,1750000,33900,Diesel
58,Toyota Corolla Altis 1.8 VL CVT,Toyota,2018,1590000,25000,Petrol
59,Audi A6 2.0 TDI  Design Edition,Audi,2013,1689999,50000,Diesel
60,Mercedes-Benz New C-Class 220 CDI AT,Mercedes-Benz,2013,1425000,59000,Diesel
61,Tata Manza ELAN Quadrajet BS IV,Tata,2011,265000,120000,Diesel
62,Hyundai i10 Magna,Hyundai,2011,190000,110000,Petrol
63,Hyundai i20 Asta 1.4 CRDi,Hyundai,2013,425000,60000,Diesel
64,Maruti Swift Dzire ZDI,Maruti,2015,630000,147000,Diesel
65,Ford Figo 1.2P Titanium MT,Ford,2017,600000,25000,Petrol
66,Maruti Baleno Delta 1.2,Maruti,2019,650000,30000,Petrol
67,Volkswagen Ameo 1.5 TDI Highline 16 Alloy,Volkswagen,2016,540000,40000,Diesel
68,Honda City i DTEC VX,Honda,2015,630000,135000,Diesel
69,Maruti Wagon R AMT VXI,Maruti,2018,448000,30000,Petrol
70,Volkswagen Ameo 1.5 TDI Comfortline,Volkswagen,2017,500000,80000,Diesel
71,Maruti Vitara Brezza VDi,Maruti,2016,745000,70000,Diesel
72,Maruti Vitara Brezza ZDi Plus AMT,Maruti,2019,1025000,9850,Diesel
73,Hyundai i10 Magna,Hyundai,2011,235000,60000,Petrol
74,Maruti Swift VDI Deca,Maruti,2016,630000,70000,Diesel
75,Toyota Fortuner 4x4 MT,Toyota,2015,1700000,78000,Diesel
76,Maruti Swift Star VDI,Maruti,2013,450000,120000,Diesel
77,Maruti Ertiga ZXI,Maruti,2012,450000,120000,Petrol
78,Tata Indica DLS,Tata,2003,50000,70000,Diesel
79,Volkswagen Vento Diesel Highline,Volkswagen,2013,450000,170000,Diesel
80,Toyota Innova 2.5 VX (Diesel) 8 Seater,Toyota,2016,1200000,140000,Diesel
81,Ford EcoSport 1.5 TDCi Titanium Plus BSIV,Ford,2015,610000,90000,Diesel
82,BMW X1 sDrive20i xLine,BMW,2016,2500000,30000,Petrol
83,Maruti Celerio ZXI MT BSIV,Maruti,2017,484999,10000,Petrol
84,Datsun GO A Petrol,Datsun,2016,275000,49000,Petrol
85,Maruti Alto 800 VXI BSIV,Maruti,2016,315000,32000,Petrol
86,Maruti Alto 800 LXI BSIV,Maruti,2016,275000,38000,Petrol
87,Maruti Swift VDI BSIV W ABS,Maruti,2015,475000,78000,Diesel
88,Hyundai i10 Era 1.1,Hyundai,2012,290000,28000,Petrol
89,Maruti Omni 8 Seater BSIV,Maruti,2017,280000,32000,Petrol
90,Maruti Wagon R LXI LPG BSIV,Maruti,2010,225000,44000,LPG
91,Volkswagen Polo 1.2 MPI Comfortline,Volkswagen,2015,455000,42000,Petrol
92,Hyundai i10 Magna 1.1L,Hyundai,2015,351000,45000,Petrol
93,Volkswagen Vento Petrol Highline,Volkswagen,2012,535000,12000,Petrol
94,Maruti Zen Estilo LXI BSIII,Maruti,2009,175000,55500,Petrol
95,Hyundai i20 Asta Optional with Sunroof 1.2,Hyundai,2013,525000,61500,Petrol
96,Maruti Swift Dzire LDI,Maruti,2016,600000,150000,Diesel
97,Hyundai Xcent 1.2 Kappa SX Option AT,Hyundai,2016,565000,72000,Petrol
98,Maruti Alto LX BSIII,Maruti,2008,120000,68000,Petrol
99,Hyundai i20 1.4 Asta Option,Hyundai,2017,725000,110000,Diesel
100,Maruti Wagon R VXI,Maruti,2009,185000,77000,Petrol
101,Tata Manza Aura (ABS) Quadrajet,Tata,2010,200000,100000,Diesel
102,Maruti Swift VXI,Maruti,2019,615000,10000,Petrol
103,Maruti Eeco 7 Seater Standard BSIV,Maruti,2016,270000,100000,Petrol
104,Maruti Baleno Zeta 1.2,Maruti,2018,610000,35000,Petrol
105,Mahindra Scorpio VLX AT AIRBAG BSIV,Mahindra,2014,625000,70000,Diesel
106,Ford Freestyle Titanium Petrol BSIV,Ford,2020,400000,5000,Petrol
107,Hyundai Verna VTVT 1.6 SX,Hyundai,2017,866000,37800,Petrol
108,Volkswagen Passat 1.8 TSI MT,Volkswagen,2010,700000,114000,Petrol
109,Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,Tata,2010,300000,48000,Petrol
110,Mahindra XUV500 W11 Option AWD,Mahindra,2019,1700000,32000,Diesel
111,Tata Indigo CS LS (TDI) BS-III,Tata,2016,375000,100000,Diesel
112,Hyundai Verna 1.6 SX,Hyundai,2013,522000,150000,Diesel
113,Hyundai i20 Magna 1.4 CRDi (Diesel),Hyundai,2013,451999,69000,Diesel
114,Toyota Corolla Altis G,Toyota,2009,300000,100000,Petrol
115,Maruti Celerio VXI,Maruti,2020,475000,13000,Petrol
116,Maruti Vitara Brezza ZDi Plus Dual Tone,Maruti,2016,780000,60000,Diesel
117,Maruti Swift Dzire VXI,Maruti,2017,595000,40000,Petrol
118,Maruti Wagon R VXI BS IV,Maruti,2017,440000,35000,Petrol
119,Maruti Swift VDI BSIV,Maruti,2010,300000,120000,Diesel
120,Nissan Terrano XL 85 PS,Nissan,2014,400000,70000,Diesel
121,Hyundai Creta 1.6 CRDi SX,Hyundai,2016,1140000,50000,Diesel
122,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,Ford,2017,850000,76139,Diesel
123,Maruti Swift Dzire VDi,Maruti,2012,370000,175000,Diesel
124,Renault KWID 1.0,Renault,2018,350000,25000,Petrol
125,Maruti Celerio VXI,Maruti,2015,360000,40000,Petrol
126,Maruti Alto LXi,Maruti,2008,105000,65000,Petrol
127,Maruti Ertiga VDI,Maruti,2013,625000,90000,Diesel
128,Hyundai Santro Xing GLS,Hyundai,2009,135000,80000,Petrol
129,Maruti Ertiga VDI,Maruti,2015,700000,110000,Diesel
130,Honda Amaze S i-VTEC,Honda,2019,690000,1303,Petrol
131,Audi Q5 35TDI Premium Plus,Audi,2018,3975000,31800,Diesel
132,Lexus ES 300h,Lexus,2019,5150000,20000,Petrol
133,Jaguar XF 2.0 Diesel Portfolio,Jaguar,2017,3200000,45000,Diesel
134,Jeep Wrangler 2016-2019 3.6 4X4,Jeep,2017,4100000,17000,Petrol
135,Land Rover Discovery Sport TD4 SE,Land,2019,4500000,21000,Diesel
136,Mercedes-Benz S-Class S 350 CDI,Mercedes-Benz,2017,6000000,37000,Diesel
137,BMW 5 Series 520d Sport Line,BMW,2018,3790000,29500,Diesel
138,BMW X1 sDrive 20D xLine,BMW,2017,2150000,27000,Diesel
139,BMW X4 M Sport X xDrive20d,BMW,2019,5800000,7500,Diesel
140,Skoda Superb LK 1.8 TSI AT,Skoda,2018,1864999,50000,Petrol
141,Mercedes-Benz E-Class E250 Edition E,Mercedes-Benz,2016,2700000,35000,Diesel
142,MG Hector Sharp AT BSIV,MG,2019,1750000,19000,Petrol
143,Honda City i-VTEC CVT VX,Honda,2017,795000,41000,Petrol
144,Toyota Corolla Altis 1.8 G CVT,Toyota,2013,625000,39000,Petrol
145,Volvo XC40 D4 R-Design,Volvo,2018,3400000,22000,Diesel
146,Audi Q7 35 TDI Quattro Premium,Audi,2015,2650000,53000,Diesel
147,Maruti Ciaz ZDi,Maruti,2015,535000,40000,Diesel
148,Mercedes-Benz S-Class S 350 CDI,Mercedes-Benz,2017,5850000,47000,Diesel
149,BMW 5 Series 523i,BMW,2010,975000,72200,Petrol
150,Hyundai Elantra S,Hyundai,2016,805000,49900,Petrol
151,Jaguar XE 2016-2019 2.0L Diesel Prestige,Jaguar,2017,2625000,9000,Diesel
152,Tata Nexon 1.2 Revotron XZ Plus Dual Tone,Tata,2018,811000,11000,Petrol
153,Volkswagen Vento Petrol Highline,Volkswagen,2011,375000,49000,Petrol
154,Hyundai Elantra SX,Hyundai,2012,550000,95000,Petrol
155,Skoda Rapid 1.6 MPI AT Elegance,Skoda,2016,645000,11000,Petrol
156,Mercedes-Benz CLA 200 CGI Sport,Mercedes-Benz,2018,2550000,18000,Petrol
157,Maruti Ertiga ZXI,Maruti,2014,599000,46100,Petrol
158,Mercedes-Benz New C-Class C 200 AVANTGARDE,Mercedes-Benz,2017,2700000,16000,Petrol
159,Honda City V AT,Honda,2017,875000,18000,Petrol
160,Toyota Glanza V CVT,Toyota,2019,894999,9654,Petrol
161,Maruti Alto K10 VXI,Maruti,2011,175000,11000,Petrol
162,Maruti Swift VXI,Maruti,2012,340000,24300,Petrol
163,Toyota Innova Crysta 2.8 ZX AT BSIV,Toyota,2016,1525000,42163,Diesel
164,Tata Nexon 1.5 Revotorq XZA Plus DualTone,Tata,2018,1025000,8000,Diesel
165,BMW 3 Series 320d Luxury Line,BMW,2016,2150000,30000,Diesel
166,Toyota Camry 2.5 Hybrid,Toyota,2016,1900000,41000,Petrol
167,BMW 5 Series 520d Luxury Line,BMW,2016,2900000,12000,Diesel
168,Toyota Camry W4 (AT),Toyota,2009,450000,71000,Petrol
169,Maruti Ertiga BSIV ZXI Plus,Maruti,2016,850000,20000,Petrol
170,Volvo XC90 T8 Excellence BSIV,Volvo,2017,10000000,30000,Petrol
171,Volkswagen Vento Diesel Highline,Volkswagen,2011,300000,100000,Diesel
172,Ford Figo Aspire 1.2 Ti-VCT Trend,Ford,2018,575000,9500,Petrol
173,Ford Figo Diesel LXI,Ford,2011,160000,120000,Diesel
174,Maruti Swift VXI Optional,Maruti,2015,515000,36600,Petrol
175,Maruti Wagon R AMT VXI,Maruti,2015,390000,50000,Petrol
176,Hyundai i20 Magna 1.2,Hyundai,2016,550000,14000,Petrol
177,Maruti 800 Std,Maruti,1999,40000,40000,Petrol
178,Maruti Ritz VDi,Maruti,2010,220000,120000,Diesel
179,Hyundai Grand i10 Magna,Hyundai,2015,425000,70000,Petrol
180,Volkswagen Ameo 1.0 MPI Trendline,Volkswagen,2019,480000,13000,Petrol
181,Hyundai Grand i10 Sportz,Hyundai,2014,400000,60000,Petrol
182,Maruti Swift Dzire VXI,Maruti,2014,487000,35000,Petrol
183,Hyundai Xcent 1.2 Kappa S,Hyundai,2016,386000,44000,Petrol
184,Honda City 1.5 EXI,Honda,2005,100000,120000,Petrol
185,Toyota Corolla Altis Diesel D4DG,Toyota,2010,300000,60000,Diesel
186,Daewoo Matiz SD,Daewoo,2000,100000,60000,Petrol
187,Toyota Fortuner 4x2 Manual,Toyota,2014,1750000,30000,Diesel
188,Mahindra KUV 100 mFALCON G80 K8,Mahindra,2016,450000,15000,Petrol
189,Tata Zest Quadrajet 1.3 75PS XM,Tata,2017,490000,90000,Diesel
190,Honda City 1.5 S MT,Honda,2009,345000,47000,Petrol
191,Maruti Zen LXI,Maruti,2005,85000,90000,Petrol
192,Maruti Wagon R VXI BS IV with ABS,Maruti,2010,215000,120600,Petrol
193,Hyundai Verna Transform SX VTVT,Hyundai,2010,320000,100000,Petrol
194,Maruti Swift Dzire VXI,Maruti,2016,459999,60000,Petrol
195,Hyundai Getz GLS,Hyundai,2005,65000,86000,Petrol
196,Hyundai Elite i20 Sportz Plus BSIV,Hyundai,2020,720000,5000,Petrol
197,Maruti Ciaz 1.3 Alpha,Maruti,2017,800000,37000,Diesel
198,Tata Tigor 1.2 Revotron XZ,Tata,2019,520000,14000,Petrol
199,Maruti Ertiga VDI,Maruti,2015,580000,70000,Diesel
200,Toyota Etios GD,Toyota,2012,235000,120000,Diesel
201,Honda City i VTEC S,Honda,2015,600000,50000,Petrol
202,Honda Brio S MT,Honda,2014,290000,60000,Petrol
203,Maruti Wagon R LXI CNG,Maruti,2016,360000,50000,CNG
204,Maruti Swift Dzire VXI,Maruti,2017,550000,50000,Petrol
205,Hyundai i20 Sportz 1.2,Hyundai,2013,375000,70000,Petrol
206,Maruti Omni E 8 Str STD,Maruti,2003,40000,90000,Petrol
207,Maruti Wagon R AMT VXI,Maruti,2018,420000,35000,Petrol
208,Maruti Swift Dzire VXI 1.2,Maruti,2017,550000,20000,Petrol
209,Maruti Alto 800 LXI,Maruti,2018,270000,20000,Petrol
210,Maruti Swift Dzire AMT VXI BS IV,Maruti,2018,700000,7800,Petrol
211,Maruti Swift VXI Optional,Maruti,2017,500000,20000,Petrol
212,Tata Hexa XE,Tata,2019,1250000,15000,Diesel
213,Hyundai i20 Magna,Hyundai,2013,320000,31377,Petrol
214,Maruti Swift Dzire VDI,Maruti,2018,700000,50000,Diesel
215,Maruti Wagon R VXI BS IV,Maruti,2015,290000,60000,Petrol
216,Toyota Corolla Altis 1.8 VL AT,Toyota,2012,550000,100000,Petrol
217,Honda Brio S MT,Honda,2012,265000,60000,Petrol
218,Maruti Baleno Alpha Automatic,Maruti,2018,830000,5000,Petrol
219,Tata Safari Storme EX,Tata,2017,800000,60000,Diesel
220,Maruti Alto LXi,Maruti,2011,160000,25000,Petrol
221,Renault KWID RXT,Renault,2018,335000,30000,Petrol
222,Datsun GO T BSIV,Datsun,2017,329000,80000,Petrol
223,Maruti Vitara Brezza VDi Option,Maruti,2017,775000,75000,Diesel
224,Hyundai Xcent 1.2 VTVT SX,Hyundai,2020,524000,32000,Petrol
225,Maruti Alto 800 LXI,Maruti,2015,245000,40000,Petrol
226,Hyundai i20 1.2 Sportz,Hyundai,2012,275000,93000,Petrol
227,Tata Zest Revotron 1.2 XT,Tata,2018,520000,60000,Petrol
228,Maruti Swift 1.3 VXi,Maruti,2008,130000,120000,Petrol
229,Nissan Sunny XL,Nissan,2014,550000,37000,Petrol
230,Ford EcoSport 1.5 Petrol Titanium Plus BSIV,Ford,2018,910000,15000,Petrol
231,Nissan Micra Active XV S,Nissan,2015,300000,80000,Petrol
232,Maruti Wagon R LXI Optional,Maruti,2016,350000,140000,Petrol
233,Mahindra Ssangyong Rexton RX5,Mahindra,2013,900000,70000,Diesel
234,Mahindra Quanto C8,Mahindra,2013,300000,120000,Diesel
235,Maruti Ritz LDi,Maruti,2010,250000,110000,Diesel
236,Hyundai Creta 1.6 CRDi SX Plus Dual Tone,Hyundai,2017,1100000,37000,Diesel
237,Renault KWID RXT,Renault,2016,270000,44000,Petrol
238,Maruti Ertiga VDI,Maruti,2015,640000,80000,Diesel
239,Mahindra XUV500 W4,Mahindra,2015,650000,125000,Diesel
240,Maruti Eeco 5 Seater AC BSIV,Maruti,2017,409999,13500,Petrol
241,Hyundai Santro Xing GLS,Hyundai,2011,165000,75000,Petrol
242,Hyundai Accent GLE,Hyundai,2007,80000,120000,Petrol
243,Mahindra XUV500 W8 2WD,Mahindra,2012,535000,120000,Diesel
244,Toyota Innova 2.5 EV (Diesel) PS 7 Seater BS IV,Toyota,2013,700000,70000,Diesel
245,Maruti Swift Dzire VDI,Maruti,2013,550000,70000,Diesel
246,Honda Amaze S CVT Petrol BSIV,Honda,2019,680000,15000,Petrol
247,Hyundai i10 Sportz 1.2,Hyundai,2009,200000,53000,Petrol
248,Maruti Swift Dzire VDI,Maruti,2014,500000,120000,Diesel
249,Maruti Ertiga SHVS ZDI Plus,Maruti,2016,1000000,70000,Diesel
250,Hyundai Getz 1.3 GVS,Hyundai,2008,110000,120000,Petrol
251,Hyundai i20 1.2 Magna,Hyundai,2012,320000,100000,Petrol
252,Tata Indica DLS,Tata,2005,75000,110000,Diesel
253,Maruti Swift LXI Optional-O,Maruti,2015,350000,100000,Petrol
254,Tata Indica Vista TDI LS,Tata,2013,170000,162500,Diesel
255,Hyundai i20 2015-2017 Asta 1.4 CRDi,Hyundai,2017,800000,39000,Diesel
256,Maruti Ignis 1.3 Alpha,Maruti,2017,500000,75000,Diesel
257,Tata Hexa XTA,Tata,2017,1380000,50000,Diesel
258,Mahindra Marazzo M6 8Str,Mahindra,2019,1300000,40000,Diesel
259,Hyundai Verna 1.6 CRDI,Hyundai,2013,530000,92500,Diesel
260,Maruti Swift Dzire VDI,Maruti,2012,360000,158000,Diesel
261,Maruti Swift Dzire LDi,Maruti,2012,310000,120000,Diesel
262,Honda City i DTEC V,Honda,2015,725000,50000,Diesel
263,Maruti Swift Dzire ZDi,Maruti,2012,340000,110000,Diesel
264,Hyundai Xcent 1.2 CRDi E,Hyundai,2017,550000,2000,Diesel
265,Toyota Fortuner 3.0 Diesel,Toyota,2011,1150000,181000,Diesel
266,Tata Tiago 1.05 Revotorq XZ,Tata,2016,380000,70000,Diesel
267,Nissan Sunny XL AT Special Edition,Nissan,2013,350000,90000,Petrol
268,Hyundai Elite i20 Magna Plus BSIV,Hyundai,2019,610000,2000,Petrol
269,Maruti Swift Dzire VXI,Maruti,2015,525000,20000,Petrol
270,Toyota Innova 2.5 GX 7 STR,Toyota,2011,480000,120000,Diesel
271,Mahindra Thar CRDe,Mahindra,2017,780000,35000,Diesel
272,Maruti Swift Dzire ZDi,Maruti,2012,320000,193000,Diesel
273,Maruti Swift 1.2 DLX (Only Delhi),Maruti,2014,375000,80000,Petrol
274,Datsun GO D Petrol,Datsun,2019,300000,40000,Petrol
275,Hyundai i20 Asta 1.4 CRDi,Hyundai,2015,500000,70000,Diesel
276,Mahindra Scorpio LX,Mahindra,2011,404000,122358,Diesel
277,Tata Sumo Gold EX BSIII,Tata,2015,500000,75000,Diesel
278,Tata Tiago Wizz 1.05 Revotorq,Tata,2017,350000,120000,Diesel
279,Tata Zest Revotron 1.2 XT,Tata,2015,380000,40000,Petrol
280,Hyundai Accent GLE,Hyundai,2008,114999,95200,Petrol
281,Honda Brio Exclusive Edition,Honda,2014,335000,33033,Petrol
282,Hyundai Grand i10 AT Asta,Hyundai,2015,465000,63063,Petrol
283,Tata Manza Club Class Quadrajet90 LX,Tata,2012,290000,60000,Diesel
284,Maruti Alto LX,Maruti,2005,110000,45000,Petrol
285,Tata New Safari DICOR 2.2 EX 4x2,Tata,2011,450000,80000,Diesel
286,Mahindra Bolero SLE,Mahindra,2009,400000,170000,Diesel
287,Mahindra Bolero DI DX 7 Seater,Mahindra,2007,210000,207890,Diesel
288,Mercedes-Benz GL-Class 220d 4MATIC Sport,Mercedes-Benz,2018,4600000,7976,Diesel
289,Maruti Omni E MPI STD BS IV,Maruti,2016,220000,35000,Petrol
290,Hyundai Grand i10 Sportz,Hyundai,2017,450000,35000,Petrol
291,Hyundai Grand i10 Sportz,Hyundai,2017,450000,35000,Petrol
292,Hyundai i10 Sportz AT,Hyundai,2013,290000,50000,Petrol
293,Maruti Swift VXI Deca,Maruti,2016,520000,20000,Petrol
294,Hyundai i10 Sportz AT,Hyundai,2011,265000,20000,Petrol
295,Maruti Swift VXI,Maruti,2012,330000,50000,Petrol
296,Maruti Swift VXI,Maruti,2012,330000,50000,Petrol
297,Mahindra Bolero 2011-2019 ZLX,Mahindra,2014,509999,120000,Diesel
298,Hyundai Verna 1.6 SX VTVT (O),Hyundai,2014,500000,70000,Petrol
299,Hyundai i20 Active 1.2,Hyundai,2015,525000,50000,Petrol
300,Maruti Baleno Zeta,Maruti,2019,675000,16500,Petrol
301,Hyundai i20 1.2 Asta,Hyundai,2010,300000,70000,Petrol
302,Maruti Alto LXI,Maruti,2005,90000,99361,Petrol
303,Maruti Swift Dzire VDI,Maruti,2017,650000,25000,Diesel
304,Maruti Swift Dzire VXI,Maruti,2014,409000,70000,Petrol
305,Hyundai Grand i10 CRDi Sportz,Hyundai,2015,395000,80000,Diesel
306,Maruti Swift 1.3 VXi,Maruti,2010,215000,70000,Petrol
307,Maruti Swift Dzire VXI,Maruti,2014,400000,70000,Petrol
308,Chevrolet Beat LS,Chevrolet,2012,120000,60000,Petrol
309,Tata Tigor 1.2 Revotron XZA,Tata,2018,645000,10000,Petrol
310,Maruti 800 Std,Maruti,2006,81000,80000,Petrol
311,Honda City i-DTEC VX,Honda,2017,1300000,30000,Diesel
312,Honda City i-DTEC VX,Honda,2017,1250000,33000,Diesel
313,Maruti Ertiga VXI,Maruti,2013,535000,90000,Petrol
314,Nissan Terrano XV Premium 110 PS,Nissan,2014,555000,80100,Diesel
315,Honda City i VTEC VX,Honda,2014,725000,120000,Petrol
316,Mahindra Willys CJ 3B 4X4,Mahindra,1983,300000,10000,Diesel
317,Renault KWID RXL,Renault,2016,229999,40000,Petrol
318,Toyota Innova 2.5 GX (Diesel) 8 Seater,Toyota,2013,800000,160000,Diesel
319,Maruti Wagon R VXI BS IV,Maruti,2017,409999,47000,Petrol
320,Hyundai Creta 1.4 CRDi S Plus,Hyundai,2018,1210000,25000,Diesel
321,Tata Tiago 1.2 Revotron XZ,Tata,2017,400000,26000,Petrol
322,Hyundai Grand i10 1.2 CRDi Sportz,Hyundai,2018,520000,29000,Diesel
323,Maruti Baleno Zeta Automatic,Maruti,2016,650000,50000,Petrol
324,Maruti Swift ZXI ABS,Maruti,2011,325000,58000,Petrol
325,Maruti Swift Dzire VXi AT,Maruti,2012,420000,120000,Petrol
326,Maruti Swift LXI Option,Maruti,2014,400000,50000,Petrol
327,Hyundai i20 1.2 Asta,Hyundai,2010,254999,80000,Petrol
328,Maruti Zen LXI,Maruti,2003,65000,60000,Petrol
329,Maruti Celerio LXI,Maruti,2017,351000,36000,Petrol
330,Toyota Innova 2.5 V Diesel 8-seater,Toyota,2007,404000,120000,Diesel
331,Maruti Ritz LDi,Maruti,2011,185000,185000,Diesel
332,Nissan Micra Diesel XV,Nissan,2011,250000,50000,Diesel
333,Maruti Zen LXI,Maruti,2002,60000,100000,Petrol
334,Hyundai Verna 1.6 SX VTVT (O),Hyundai,2013,500000,50000,Petrol
335,Maruti Zen Estilo LXI BSIII,Maruti,2007,85000,80000,Petrol
336,Hyundai Santro Xing XL,Hyundai,2005,85000,60000,Petrol
337,Maruti Alto LX,Maruti,2005,85000,80000,Petrol
338,Maruti Swift Dzire ZDi,Maruti,2011,265000,90000,Diesel
339,Maruti A-Star Vxi,Maruti,2010,130000,162000,Petrol
340,Maruti Ertiga VDI,Maruti,2013,480000,110000,Diesel
341,Maruti Swift Ldi BSIII,Maruti,2008,170000,120000,Diesel
342,Nissan Micra Diesel XV,Nissan,2011,275000,45000,Diesel
343,Maruti Wagon R LXI,Maruti,2005,89000,90000,Petrol
344,Ford Figo Diesel Titanium,Ford,2010,170000,90000,Diesel
345,Mahindra XUV300 W8 Option BSIV,Mahindra,2019,1090000,16500,Petrol
346,Hyundai Creta 1.6 CRDi AT SX Plus,Hyundai,2017,1100000,67000,Diesel
347,Maruti Swift VXI BSIV,Maruti,2018,610000,52000,Petrol
348,Datsun GO T Option BSIV,Datsun,2016,335000,40000,Petrol
349,Hyundai Grand i10 Asta,Hyundai,2015,434999,40000,Petrol
350,Toyota Fortuner 2.8 2WD MT BSIV,Toyota,2018,3000000,35000,Diesel
351,Renault KWID RXL,Renault,2018,390000,13000,Petrol
352,Honda Brio 1.2 VX MT,Honda,2012,325000,40000,Petrol
353,Volkswagen Ameo 1.2 MPI Comfortline Plus,Volkswagen,2019,640000,10000,Petrol
354,Nissan Sunny XV Special Edition,Nissan,2012,450000,9000,Petrol
355,Toyota Etios Liva GD SP,Toyota,2013,400000,70000,Diesel
356,Hyundai i10 Sportz,Hyundai,2009,215000,60000,Petrol
357,Renault Duster 85PS Diesel RxL,Renault,2014,570000,40000,Diesel
358,Mahindra XUV500 W8 2WD,Mahindra,2012,680000,93000,Diesel
359,Toyota Innova 2.5 V Diesel 7-seater,Toyota,2008,325000,80000,Diesel
360,Tata Indigo CS eGLX BS IV,Tata,2011,150000,50000,Petrol
361,Hyundai Elantra SX AT,Hyundai,2013,690000,68000,Petrol
362,Mercedes-Benz New C-Class 220 CDI AT,Mercedes-Benz,2013,1550000,25000,Diesel
